2025-11-13 15:38:21,107 INFO    MainThread:1476078 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_setup.py:_flush():76] Configure stats pid to 1476078
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_setup.py:_flush():76] Loading settings from /seu_share/home/qiguilin/220236147/.config/wandb/settings
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_setup.py:_flush():76] Loading settings from /seu_share/home/qiguilin/220236147/wjt_gretriever/g_retriever_ukg/wandb/settings
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'graph_prompt_tuning', 'api_key': '***REDACTED***'}
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_ds.py', 'program': '/seu_share/home/qiguilin/220236147/wjt_gretriever/g_retriever_ukg/train_ds.py'}
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_init.py:_log_setup():507] Logging user logs to /seu_share/home/qiguilin/220236147/wjt_gretriever/g_retriever_ukg/wandb/offline-run-20251113_153821-okkhxrsu/logs/debug.log
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_init.py:_log_setup():508] Logging internal logs to /seu_share/home/qiguilin/220236147/wjt_gretriever/g_retriever_ukg/wandb/offline-run-20251113_153821-okkhxrsu/logs/debug-internal.log
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_init.py:init():547] calling init triggers
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_init.py:init():596] starting backend
2025-11-13 15:38:21,108 INFO    MainThread:1476078 [wandb_init.py:init():600] setting up manager
2025-11-13 15:38:21,112 INFO    MainThread:1476078 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-11-13 15:38:21,115 INFO    MainThread:1476078 [wandb_init.py:init():606] backend started and connected
2025-11-13 15:38:21,120 INFO    MainThread:1476078 [wandb_init.py:init():703] updated telemetry
2025-11-13 15:38:23,252 INFO    MainThread:1476078 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2025-11-13 15:38:23,257 INFO    MainThread:1476078 [wandb_init.py:init():787] starting run threads in backend
